Url,WasDetected,CMSName,CMSVersion,LanguageName,LanguageVersion,JSLibName,JSLibVersion
Www.gob.mx,True,WordPress,N/A,PHP,N/A,,
bbvanet.com.mx,True,,,,,,
banorte.com,True,,,Java,,JQuery,1.11.1
banamex.com.mx,True,,,,,,
edu.mx,True,,,,,,
segundamano.mx,True,,,,,,
andrea.com,True,Magento,,,,JQuery,
unam.mx,True,Drupal,,PHP,,JQuery,1.8.3
eluniversal.com.mx,True,Drupal,7.37,PHP,5.3.29,JQuery,
occ.com.mx,True,,,,,,
volaris.com,True,,,ASP.NET,4.0.30319,JQuery,
inegi.org.mx,True,,,ASP.NET,2.0.50727,JQuery,1.11.1
infonavit.org.mx,True,,,Java,,,
Segundamano.mx,True,,,,,,
telmex.com,True,Liferay,,Java,,,
itesm.mx,True,,,Java,,JQuery,1.7.1
pemex.com,True,SharePoint,,ASP.NET,2.0.50727,JQuery,
excelsior.com.mx,True,Drupal,,PHP,,JQuery,1.1
liverpool.com.mx,True,ATG Web Commerce,,Java,,JQuery,1.7.1
nextel.com.mx,True,Adobe Experience Manager,,Java,,,
clarovideo.com,True,,,,,,
qualitas.com.mx,True,Liferay,6.1.0,,,,
colnect.com,True,,,,,,
udg.mx,True,Drupal,7.37,PHP,5.4.25,,
cklass.com,True,,,,,JQuery,1.8.3
Santander.com.mx,True,,,,,,
net.mx,True,,,,,,
santander.com.mx,True,,,,,,
bb.com.mx,True,Joomla,,,,JQuery,1.6
ipn.mx,True,SharePoint,,,,JQuery,1.6.1
interjet.com.mx,True,,,ASP.NET,2.0.50727,JQuery,
inbursa.com,True,,,,,JQuery,
milenio.com,True,,,,,JQuery,1.8.3
nafin.com,True,,,Java,,,
almex.com.mx,True,DotNetNuke,,ASP.NET,4.0.30319,JQuery,
contactognp.com.mx,True,,,,,,
cibanco.com,True,,,Java,N/A,,
avisosdeocasion.com,True,,,ASP.NET,,,
Axa.mx,True,Liferay,,,,,
unadmexico.mx,True,Joomla,,PHP,5.5.22,JQuery,
banamex.com,True,,,Java,,,
elnorte.com,True,,,ASP.NET,,,
oem.com.mx,True,,,ASP.NET,,,
Banorte.com,True,,,Java,,JQuery,1.11.1
coppel.com,True,,,PHP,,JQuery,
bestday.com.mx,True,,,ASP.NET,4.0.30319,,
unid.mx,True,,,,,,
Ine.mx,True,Open Text,,,,JQuery,1.9.1
tecmilenio.mx,True,WordPress,,PHP,,JQuery,
Universidaduvm.mx,True,WordPress,,PHP,5.6.3,,
fovissste.com.mx,True,,,,,,
record.com.mx,True,,,,,,
officedepot.com.mx,True,,,,,JQuery,1.7.2
mediotiempo.com,True,,,PHP,,,
cinepolis.com,True,,,ASP.NET,,JQuery,
uaemex.mx,True,,,,,JQuery,
elfinanciero.com.mx,True,,,,,JQuery,1.8.3
Diverza.com,True,Joomla,,PHP,,,
ine.mx,True,Open Text,,,,JQuery,1.9.1
casaley.com.mx,True,Joomla,,PHP,5.4.42,JQuery,1.8.2
movistarpromociones.mx,True,,,,,,
sicofi.com.mx,True,,,,,,
tvnotas.com.mx,True,,,PHP,5.2.10,,
clubpremier.com,True,,,,,JQuery,
Asesordeseguros.com.mx,True,,,,,,
sky.com.mx,True,Drupal,7,PHP,5.3.29,,
elimparcial.com,True,,,ASP.NET,,JQuery,1.11.0
vivaaerobus.com,True,,,ASP.NET,4.0.30319,,
uanl.mx,True,Drupal,6.22,PHP,5.3.8,,
burodecredito.com.mx,True,,,,,,
fel.mx,True,FrontPage,4,,,JQuery,1.7.2
bancoinbursa.com,True,,,ASP.NET,,,
winstondata.com.mx,True,,,,,,
aristeguinoticias.com,True,WordPress,3.5.2,PHP,,,
aldoautopartes.com,True,,,Java,,,
claro.com.co,True,,,,,,
exchangeadministrado.com,True,,,,,,
mapfre.com.mx,True,,,,,JQuery,1.8.3
reforma.com,True,,,ASP.NET,,,
uam.mx,True,,,,,,
vuplus-support.org,True,,,PHP,,,
mitula.mx,True,,,Java,,,
diario.mx,True,,,PHP,5.3.3,,
informador.com.mx,True,,,PHP,5.3.10,JQuery,1.7.2
uv.mx,True,,,ASP.NET,,,
scotiaweb.com.mx,True,,,,,,
elsiglodetorreon.com.mx,True,,,PHP,,,
proceso.com.mx,True,WordPress,4.3.1,PHP,,JQuery,1.7.2
cinemex.com,True,,,PHP 5.5.23,N/A,,
abaseguros.com,True,SharePoint,,ASP.NET,,JQuery,1.4.4
esmas.com,True,,,PHP,,,
costco.com.mx,True,,,Java,,JQuery,1.7.1
masfacturaweb.com.mx,True,,,ASP.NET,4.0.30319,,
prontipagos.mx,True,,,,,,
vw.com.mx,True,Adobe Experience Manager,,Java,,,
imp.mx,True,,,,,,
Eluniversal.com.mx,True,Drupal,7.37,PHP,5.3.29,JQuery,
sears.com.mx,True,,,PHP,,,
estafeta.com,True,Umbraco,4.7,ASP.NET,4.0.30319,,
emsat.com.mx,True,,,,,,
uson.mx,True,WordPress,N/A,,,JQuery,1.7.1
metroscubicos.com,True,,,,,,
timetracker.com.mx,True,,,,,,
afirme.com.mx,True,,,Java,,,
quien.com,True,,,PHP,,,
jafranet.com.mx,True,,,,,,
conacyt.mx,True,Joomla,N/A,PHP,5.6.12,,
uasnet.mx,True,,,PHP,4.3.9,,
pricetravel.com.mx,True,,,ASP.NET,4.0.30319,,
dish.com.mx,True,,,,,JQuery,
